VENDOR INVOICE REGISTER — 500 Invoices WITH Embedded Anomalies,,,,,,,,,,,,,,,,,,,
Find: 38 Duplicates | 52 Rate Mismatches | 24 Ghost Invoices | 41 3-Way Match Failures,,,,,,,,,,,,,,,,,,,
Invoice No,Invoice Date,Receipt Date,Vendor ID,Vendor Name,PO Reference,GRN Reference,Item Description,Qty Billed,Rate Billed (Rs.),Basic Amt (Rs.),GST %,GST Amt (Rs.),Total Invoice (Rs.),Payment Terms,Due Date,Payment Status,Submitted Via,Processed By,Notes
INV/V003/19239,06/08/2023,08/07/2023,V003,Gupta Packaging,PO/FY24/0033,GRN/FY24/0033,Rubber Gaskets,618,52.00,"32,136.00",18,"5,784.48","37,920.48",30,05/09/2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/57806,22-11-2023,24-11-2023,V004,Singh Logistics,PO/FY24/0034,GRN/FY24/0034,Cutting Tools Set,546,"1,450.00","791,700.00",18,"142,506.00","934,206.00",45,01/06/2024,Pending,WhatsApp,AP Clerk - Mohan,
INV/V005/55231,07-12-2023,08-12-2023,V005,Mehta Industries,PO/FY24/0035,GRN/FY24/0035,Lubricating Oil,768,490.00,"376,320.00",18,"67,737.60","444,057.60",60,02/05/2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V006/31040,12-03-2024,15-03-2024,V006,Joshi Components,PO/FY24/0036,GRN/FY24/0036,Corrugated Boxes,203,22.00,"4,466.00",12,535.92,"5,001.92",45,26-04-2024,Pending,Email,AP Clerk - Mohan,
INV/V007/72955,07-08-2023,10-08-2023,V007,Agarwal Metals,PO/FY24/0037,GRN/FY24/0037,Ball Bearings,287,260.00,"74,620.00",18,"13,431.60","88,051.60",60,06-10-2023,Pending,Email,AP Clerk - Mohan,
INV/V008/39571,18-11-2023,21-11-2023,V008,Patel Suppliers,PO/FY24/0038,GRN/FY24/0038,Hydraulic Hoses,496,720.00,"357,120.00",18,"64,281.60","421,401.60",60,01/17/2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V009/43691,12/16/2023,16/12/2023,V009,Kumar Trading,PO/FY24/0039,GRN/FY24/0039,Safety Gloves,286,95.00,"27,170.00",5,"1,358.50","28,528.50",45,30-01-2024,Pending,Email,AP Clerk - Sunita,
INV/V010/27676,05-01-2024,07-01-2024,V010,Verma Auto Parts,PO/FY24/0040,GRN/FY24/0040,Welding Rods,666,210.00,"139,860.00",18,"25,174.80","165,034.80",60,05-03-2024,Pending,Email,AP Clerk - Sunita,
INV/V001/61712,29-07-2023,30-07-2023,V001,Sharma Enterprises,PO/FY24/0041,GRN/FY24/0041,Steel Sheets 2mm,370,180.00,"66,600.00",18,"11,988.00","78,588.00",60,27-09-2023,Pending,Email,AP Clerk - Mohan,
INV/V002/23395,09-06-2023,10-06-2023,V002,Rajput Steel Works,PO/FY24/0042,GRN/FY24/0042,Aluminium Rods,619,280.00,"173,320.00",18,"31,197.60","204,517.60",45,24-07-2023,Pending,Email,AP Clerk - Ramesh,
INV/V003/21163,13-11-2023,13-11-2023,V003,Gupta Packaging,PO/FY24/0043,GRN/FY24/0043,Rubber Gaskets,374,52.00,"19,448.00",18,"3,500.64","22,948.64",30,13-12-2023,Pending,Email,AP Clerk - Mohan,
INV/V004/35979,11-08-2023,11-08-2023,V004,Singh Logistics,PO/FY24/0044,GRN/FY24/0044,Cutting Tools Set,611,"1,450.00","885,950.00",18,"159,471.00","1,045,421.00",45,25-09-2023,Pending,Email,AP Clerk - Sunita,
INV/V005/84831,10-05-2023,12-05-2023,V005,Mehta Industries,PO/FY24/0045,GRN/FY24/0045,Lubricating Oil,782,490.00,"383,180.00",18,"68,972.40","452,152.40",30,09-06-2023,Pending,Email,AP Clerk - Sunita,
INV/V006/83695,11-02-2024,11-02-2024,V006,Joshi Components,PO/FY24/0046,GRN/FY24/0046,Corrugated Boxes,146,22.00,"3,212.00",12,385.44,"3,597.44",45,27-03-2024,Pending,Email,AP Clerk - Sunita,
INV/V007/93428,04-11-2023,06-11-2023,V007,Agarwal Metals,PO/FY24/0047,GRN/FY24/0047,Ball Bearings,357,260.00,"92,820.00",18,"16,707.60","109,527.60",45,19-12-2023,Pending,Courier,AP Clerk - Sunita,
INV/V008/79831,03-11-2023,11/05/2023,V008,Patel Suppliers,PO/FY24/0048,GRN/FY24/0048,Hydraulic Hoses,86,720.00,"61,920.00",18,"11,145.60","73,065.60",45,18/12/2023,Pending,Portal,AP Clerk - Mohan,
INV/V009/30813,26-11-2023,27-11-2023,V009,Kumar Trading,PO/FY24/0049,GRN/FY24/0049,Safety Gloves,185,95.00,"17,575.00",5,878.75,"18,453.75",60,25-01-2024,Pending,Courier,AP Clerk - Ramesh,
INV/V010/41555,19-03-2024,19-03-2024,V010,Verma Auto Parts,PO/FY24/0050,GRN/FY24/0050,Welding Rods,782,210.00,"164,220.00",18,"29,559.60","193,779.60",45,03-05-2024,Pending,Portal,AP Clerk - Ramesh,
INV/V001/58630,02/23/2024,23/02/2024,V001,Sharma Enterprises,PO/FY24/0051,GRN/FY24/0051,Steel Sheets 2mm,226,180.00,"40,680.00",18,"7,322.40","48,002.40",60,23/04/2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V002/64060,15-07-2023,18-07-2023,V002,Rajput Steel Works,PO/FY24/0052,GRN/FY24/0052,Aluminium Rods,129,280.00,"36,120.00",18,"6,501.60","42,621.60",60,13-09-2023,Pending,Email,AP Clerk - Ramesh,
INV/V003/44357,16/07/2023,19-07-2023,V003,Gupta Packaging,PO/FY24/0053,GRN/FY24/0053,Rubber Gaskets,306,52.00,"15,912.00",18,"2,864.16","18,776.16",45,30-08-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V004/93027,29-03-2024,29-03-2024,V004,Singh Logistics,PO/FY24/0054,GRN/FY24/0054,Cutting Tools Set,497,"1,450.00","720,650.00",18,"129,717.00","850,367.00",60,05/28/2024,Pending,Courier,AP Clerk - Mohan,
INV/V005/39855,05-07-2023,07/05/2023,V005,Mehta Industries,PO/FY24/0055,GRN/FY24/0055,Lubricating Oil,311,490.00,"152,390.00",18,"27,430.20","179,820.20",60,03-09-2023,Pending,Email,AP Clerk - Mohan,
INV/V006/33102,21/02/2024,02/24/2024,V006,Joshi Components,PO/FY24/0056,GRN/FY24/0056,Corrugated Boxes,763,22.00,"16,786.00",12,"2,014.32","18,800.32",60,21-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V007/67425,24-08-2023,24-08-2023,V007,Agarwal Metals,PO/FY24/0057,GRN/FY24/0057,Ball Bearings,672,260.00,"174,720.00",18,"31,449.60","206,169.60",60,23-10-2023,Pending,Email,AP Clerk - Mohan,
INV/V008/52734,01/01/2024,03-01-2024,V008,Patel Suppliers,PO/FY24/0058,GRN/FY24/0058,Hydraulic Hoses,207,720.00,"149,040.00",18,"26,827.20","175,867.20",45,15-02-2024,Pending,Email,AP Clerk - Sunita,
INV/V009/32568,20/08/2023,22-08-2023,V009,Kumar Trading,PO/FY24/0059,GRN/FY24/0059,Safety Gloves,710,95.00,"67,450.00",5,"3,372.50","70,822.50",60,10/19/2023,Pending,Courier,AP Clerk - Sunita,
INV/V010/50648,01-01-2024,03-01-2024,V010,Verma Auto Parts,PO/FY24/0060,GRN/FY24/0060,Welding Rods,483,210.00,"101,430.00",18,"18,257.40","119,687.40",45,15-02-2024,Pending,Courier,AP Clerk - Sunita,
INV/V001/65514,02-09-2023,04-09-2023,V001,Sharma Enterprises,PO/FY24/0061,GRN/FY24/0061,Steel Sheets 2mm,329,180.00,"59,220.00",18,"10,659.60","69,879.60",45,17-10-2023,Pending,Email,AP Clerk - Sunita,
INV/V002/56697,24-01-2024,27-01-2024,V002,Rajput Steel Works,PO/FY24/0062,GRN/FY24/0062,Aluminium Rods,686,280.00,"192,080.00",18,"34,574.40","226,654.40",30,23-02-2024,Pending,Portal,AP Clerk - Sunita,
INV/V003/35276,07/12/2023,07-12-2023,V003,Gupta Packaging,PO/FY24/0063,GRN/FY24/0063,Rubber Gaskets,442,52.00,"22,984.00",18,"4,137.12","27,121.12",60,05/02/2024,Pending,Portal,AP Clerk - Sunita,
INV/V004/28110,16-10-2023,16-10-2023,V004,Singh Logistics,PO/FY24/0064,GRN/FY24/0064,Cutting Tools Set,378,"1,450.00","548,100.00",18,"98,658.00","646,758.00",45,11/30/2023,Pending,Portal,AP Clerk - Mohan,
INV/V005/78681,16-04-2023,19-04-2023,V005,Mehta Industries,PO/FY24/0065,GRN/FY24/0065,Lubricating Oil,457,490.00,"223,930.00",18,"40,307.40","264,237.40",60,15-06-2023,Pending,Email,AP Clerk - Mohan,
INV/V006/77591,25/11/2023,28-11-2023,V006,Joshi Components,PO/FY24/0066,GRN/FY24/0066,Corrugated Boxes,763,22.00,"16,786.00",12,"2,014.32","18,800.32",45,09/01/2024,Pending,Portal,AP Clerk - Ramesh,
INV/V007/89936,30-11-2023,30-11-2023,V007,Agarwal Metals,PO/FY24/0067,GRN/FY24/0067,Ball Bearings,723,260.00,"187,980.00",18,"33,836.40","221,816.40",45,14-01-2024,Pending,WhatsApp,AP Clerk - Mohan,
INV/V008/79496,07-02-2024,10/02/2024,V008,Patel Suppliers,PO/FY24/0068,GRN/FY24/0068,Hydraulic Hoses,63,720.00,"45,360.00",18,"8,164.80","53,524.80",60,07-04-2024,Pending,Portal,AP Clerk - Mohan,
INV/V009/13610,28-07-2023,07/28/2023,V009,Kumar Trading,PO/FY24/0069,GRN/FY24/0069,Safety Gloves,231,95.00,"21,945.00",5,"1,097.25","23,042.25",45,11/09/2023,Pending,Email,AP Clerk - Mohan,
INV/V010/65894,05/08/2023,05-08-2023,V010,Verma Auto Parts,PO/FY24/0070,GRN/FY24/0070,Welding Rods,325,210.00,"68,250.00",18,"12,285.00","80,535.00",45,19-09-2023,Pending,Email,AP Clerk - Ramesh,
INV/V001/35713,08/01/2023,03-08-2023,V001,Sharma Enterprises,PO/FY24/0071,GRN/FY24/0071,Steel Sheets 2mm,669,180.00,"120,420.00",18,"21,675.60","142,095.60",60,09/30/2023,Pending,Email,AP Clerk - Mohan,
INV/V002/29620,23-04-2024,23-04-2024,V002,Rajput Steel Works,PO/FY24/0072,GRN/FY24/0072,Aluminium Rods,363,280.00,"101,640.00",18,"18,295.20","119,935.20",30,05/23/2024,Pending,Courier,AP Clerk - Ramesh,
INV/V003/49754,25-08-2023,25-08-2023,V003,Gupta Packaging,PO/FY24/0073,GRN/FY24/0073,Rubber Gaskets,181,52.00,"9,412.00",18,"1,694.16","11,106.16",60,24/10/2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/21795,03/05/2023,04-05-2023,V004,Singh Logistics,PO/FY24/0074,GRN/FY24/0074,Cutting Tools Set,636,"1,450.00","922,200.00",18,"165,996.00","1,088,196.00",60,02-07-2023,Pending,WhatsApp,AP Clerk - Ramesh,
INV/V005/97073,18/03/2024,19-03-2024,V005,Mehta Industries,PO/FY24/0075,GRN/FY24/0075,Lubricating Oil,485,490.00,"237,650.00",18,"42,777.00","280,427.00",30,17-04-2024,Pending,Portal,AP Clerk - Sunita,
INV/V006/51982,08/19/2023,20-08-2023,V006,Joshi Components,PO/FY24/0076,GRN/FY24/0076,Corrugated Boxes,167,22.00,"3,674.00",12,440.88,"4,114.88",45,03-10-2023,Pending,WhatsApp,AP Clerk - Sunita,
INV/V007/37258,11-05-2023,13-05-2023,V007,Agarwal Metals,PO/FY24/0077,GRN/FY24/0077,Ball Bearings,681,260.00,"177,060.00",18,"31,870.80","208,930.80",60,07/10/2023,Pending,Email,AP Clerk - Mohan,
INV/V008/42093,16-12-2023,19-12-2023,V008,Patel Suppliers,PO/FY24/0078,GRN/FY24/0078,Hydraulic Hoses,714,720.00,"514,080.00",18,"92,534.40","606,614.40",45,30-01-2024,Pending,Email,AP Clerk - Sunita,
INV/V009/93580,26-01-2024,27/01/2024,V009,Kumar Trading,PO/FY24/0079,GRN/FY24/0079,Safety Gloves,616,95.00,"58,520.00",5,"2,926.00","61,446.00",45,11-03-2024,Pending,Portal,AP Clerk - Sunita,
INV/V010/68405,14-03-2024,15-03-2024,V010,Verma Auto Parts,PO/FY24/0080,GRN/FY24/0080,Welding Rods,537,210.00,"112,770.00",18,"20,298.60","133,068.60",60,13-05-2024,Pending,Email,AP Clerk - Ramesh,
INV/V001/38913,05-02-2024,08-02-2024,V001,Sharma Enterprises,PO/FY24/0081,GRN/FY24/0081,Steel Sheets 2mm,66,180.00,"11,880.00",18,"2,138.40","14,018.40",45,21-03-2024,Pending,Email,AP Clerk - Mohan,
INV/V002/68709,16-03-2024,17-03-2024,V002,Rajput Steel Works,PO/FY24/0082,GRN/FY24/0082,Aluminium Rods,621,280.00,"173,880.00",18,"31,298.40","205,178.40",45,04/30/2024,Pending,Email,AP Clerk - Mohan,
INV/V003/28144,12-03-2024,13/03/2024,V003,Gupta Packaging,PO/FY24/0083,GRN/FY24/0083,Rubber Gaskets,612,52.00,"31,824.00",18,"5,728.32","37,552.32",45,26-04-2024,Pending,Email,AP Clerk - Sunita,
INV/V004/29710,02/26/2024,29-02-2024,V004,Singh Logistics,PO/FY24/0084,GRN/FY24/0084,Cutting Tools Set,144,"1,450.00","208,800.00",18,"37,584.00","246,384.00",45,11/04/2024,Pending,Courier,AP Clerk - Sunita,
INV/V005/26755,19/01/2024,22-01-2024,V005,Mehta Industries,PO/FY24/0085,GRN/FY24/0085,Lubricating Oil,315,490.00,"154,350.00",18,"27,783.00","182,133.00",30,02/18/2024,Pending,Email,AP Clerk - Mohan,
INV/V006/13404,21-09-2023,22-09-2023,V006,Joshi Components,PO/FY24/0086,GRN/FY24/0086,Corrugated Boxes,426,22.00,"9,372.00",12,"1,124.64","10,496.64",60,20-11-2023,Pending,Email,AP Clerk - Mohan,
INV/V007/72032,06/07/2023,09-07-2023,V007,Agarwal Metals,PO/FY24/0087,GRN/FY24/0087,Ball Bearings,467,260.00,"121,420.00",18,"21,855.60","143,275.60",30,05-08-2023,Pending,Email,AP Clerk - Sunita,
INV/V008/20719,18-07-2023,18-07-2023,V008,Patel Suppliers,PO/FY24/0088,GRN/FY24/0088,Hydraulic Hoses,611,720.00,"439,920.00",18,"79,185.60","519,105.60",45,09/01/2023,Pending,Portal,AP Clerk - Ramesh,
INV/V009/49293,04-11-2023,04-11-2023,V009,Kumar Trading,PO/FY24/0089,GRN/FY24/0089,Safety Gloves,443,95.00,"42,085.00",5,"2,104.25","44,189.25",30,04-12-2023,Pending,Email,AP Clerk - Mohan,
INV/V010/22909,20-05-2023,05/20/2023,V010,Verma Auto Parts,PO/FY24/0090,GRN/FY24/0090,Welding Rods,358,210.00,"75,180.00",18,"13,532.40","88,712.40",60,19-07-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V001/97688,28-03-2024,30-03-2024,V001,Sharma Enterprises,PO/FY24/0091,GRN/FY24/0091,Steel Sheets 2mm,624,180.00,"112,320.00",18,"20,217.60","132,537.60",30,27-04-2024,Pending,Email,AP Clerk - Mohan,
INV/V002/54862,03-11-2023,06-11-2023,V002,Rajput Steel Works,PO/FY24/0092,GRN/FY24/0092,Aluminium Rods,65,280.00,"18,200.00",18,"3,276.00","21,476.00",30,03-12-2023,Pending,Email,AP Clerk - Ramesh,
INV/V003/85985,19-10-2023,22-10-2023,V003,Gupta Packaging,PO/FY24/0093,GRN/FY24/0093,Rubber Gaskets,700,52.00,"36,400.00",18,"6,552.00","42,952.00",60,12/18/2023,Pending,Email,AP Clerk - Ramesh,
INV/V004/61673,23-03-2024,25/03/2024,V004,Singh Logistics,PO/FY24/0094,GRN/FY24/0094,Cutting Tools Set,178,"1,450.00","258,100.00",18,"46,458.00","304,558.00",30,04/22/2024,Pending,Email,AP Clerk - Sunita,
INV/V005/92809,11/24/2023,25-11-2023,V005,Mehta Industries,PO/FY24/0095,GRN/FY24/0095,Lubricating Oil,107,490.00,"52,430.00",18,"9,437.40","61,867.40",45,08-01-2024,Pending,Email,AP Clerk - Sunita,
INV/V006/80723,15-04-2023,17-04-2023,V006,Joshi Components,PO/FY24/0096,GRN/FY24/0096,Corrugated Boxes,341,22.00,"7,502.00",12,900.24,"8,402.24",45,05/30/2023,Pending,Portal,AP Clerk - Mohan,
INV/V007/75383,13/03/2024,16-03-2024,V007,Agarwal Metals,PO/FY24/0097,GRN/FY24/0097,Ball Bearings,599,260.00,"155,740.00",18,"28,033.20","183,773.20",45,04/27/2024,Pending,Portal,AP Clerk - Mohan,
INV/V008/20845,03/07/2023,07/06/2023,V008,Patel Suppliers,PO/FY24/0098,GRN/FY24/0098,Hydraulic Hoses,448,720.00,"322,560.00",18,"58,060.80","380,620.80",60,01-09-2023,Pending,Email,AP Clerk - Ramesh,
INV/V009/17480,02/29/2024,01-03-2024,V009,Kumar Trading,PO/FY24/0099,GRN/FY24/0099,Safety Gloves,81,95.00,"7,695.00",5,384.75,"8,079.75",30,03/30/2024,Pending,WhatsApp,AP Clerk - Sunita,
INV/V010/18915,04/14/2023,16-04-2023,V010,Verma Auto Parts,PO/FY24/0100,GRN/FY24/0100,Welding Rods,591,210.00,"124,110.00",18,"22,339.80","146,449.80",45,29-05-2023,Pending,WhatsApp,AP Clerk - Mohan,
INV/V001/60387,16-04-2024,18-04-2024,V001,Sharma Enterprises,PO/FY24/0101,GRN/FY24/0101,Steel Sheets 2mm,56,180.00,"10,080.00",18,"1,814.40","11,894.40",45,31-05-2024,Pending,Courier,AP Clerk - Sunita,
INV/V002/45477,11-07-2023,12/07/2023,V002,Rajput Steel Works,PO/FY24/0102,GRN/FY24/0102,Aluminium Rods,231,280.00,"64,680.00",18,"11,642.40","76,322.40",60,09-09-2023,Pending,Email,AP Clerk - Sunita,
INV/V003/58392,13-08-2023,16-08-2023,V003,Gupta Packaging,PO/FY24/0103,GRN/FY24/0103,Rubber Gaskets,528,52.00,"27,456.00",18,"4,942.08","32,398.08",30,12-09-2023,Pending,Email,AP Clerk - Sunita,
INV/V004/69861,16-04-2024,04/17/2024,V004,Singh Logistics,PO/FY24/0104,GRN/FY24/0104,Cutting Tools Set,386,"1,450.00","559,700.00",18,"100,746.00","660,446.00",45,31-05-2024,Pending,Email,AP Clerk - Mohan,
INV/V005/28420,24-03-2024,26-03-2024,V005,Mehta Industries,PO/FY24/0105,GRN/FY24/0105,Lubricating Oil,210,490.00,"102,900.00",18,"18,522.00","121,422.00",30,04/23/2024,Pending,Email,AP Clerk - Ramesh,
INV/V006/40998,04-04-2024,07-04-2024,V006,Joshi Components,PO/FY24/0106,GRN/FY24/0106,Corrugated Boxes,138,22.00,"3,036.00",12,364.32,"3,400.32",30,04/05/2024,Pending,Courier,AP Clerk - Ramesh,
INV/V007/57241,15-01-2024,16-01-2024,V007,Agarwal Metals,PO/FY24/0107,GRN/FY24/0107,Ball Bearings,718,260.00,"186,680.00",18,"33,602.40","220,282.40",30,14-02-2024,Pending,Email,AP Clerk - Sunita,
INV/V008/97090,10-09-2023,12-09-2023,V008,Patel Suppliers,PO/FY24/0108,GRN/FY24/0108,Hydraulic Hoses,687,720.00,"494,640.00",18,"89,035.20","583,675.20",60,09-11-2023,Pending,Email,AP Clerk - Sunita,
INV/V009/62679,05-03-2024,08-03-2024,V009,Kumar Trading,PO/FY24/0109,GRN/FY24/0109,Safety Gloves,237,95.00,"22,515.00",5,"1,125.75","23,640.75",30,04-04-2024,Pending,Courier,AP Clerk - Ramesh,
